Taxa
Dysithamnus striaticeps
Dysithamnus puncticeps
Myrmotherula axillaris
Myrmotherula schisticolor
Epinecrophylla fulviventris
Microrhopias quixensis
Euchrepomis callinota
Cercomacroides tyrannina
Gymnocichla nudiceps
Poliocrania exsul
Sipia laemosticta
Myrmeciza zeledoni
Hylophylax naevioides
Gymnopithys bicolor
Phaenostictus mcleannani
Pittasoma michleri
Grallaria guatimalensis
Hylopezus perspicillatus
Hylopezus dives
Grallaricula flavirostris
Scytalopus argentifrons
Formicarius analis
Formicarius nigricapillus
Formicarius rufipectus
Sclerurus mexicanus
Sclerurus albigularis
Sclerurus guatemalensis
Sittasomus griseicapillus
Deconychura longicauda
Dendrocincla homochroa
Dendrocincla anabatina
Dendrocincla fuliginosa
Glyphorynchus spirurus
Dendrocolaptes sanctithomae
Dendrocolaptes picumnus
Xiphocolaptes promeropirhynchus
Xiphorhynchus susurrans
Xiphorhynchus flavigaster
Xiphorhynchus lachrymosus
Xiphorhynchus erythropygius
Campylorhamphus pusillus 
Lepidocolaptes souleyetii
Lepidocolaptes affinis
Xenops minutus
Xenops rutilans
Pseudocolaptes lawrencii
Dendroma rufa
Anabacerthia variegaticeps
Syndactyla subalaris
Clibanornis rubiginosus
Thripadectes rufobrunneus
Automolus ochrolaemus
Automolus exsertus
Automolus subulatus
Premnoplex brunnescens
Margarornis rubiginosus
Cranioleuca erythrops
Synallaxis albescens
Synallaxis brachyura
Chiroxiphia lanceolata
Chiroxiphia linearis
Corapipo altera
Lepidothrix coronata
Manacus candei
Manacus aurantiacus
Pseudopipra pipra
Ceratopipra mentalis
Querula purpurata
Cephalopterus glabricollis
Cotinga amabilis
Cotinga ridgwayi
Lipaugus unirufus
Procnias tricarunculatus
Carpodectes antoniae
Carpodectes nitidus
Schiffornis veraepacis
Laniocera rufescens
Tityra semifasciata
Tityra inquisitor
Pachyramphus versicolor
Pachyramphus cinnamomeus
Pachyramphus polychopterus
Pachyramphus albogriseus
Pachyramphus aglaiae
Oxyruncus cristatus
Onychorhynchus coronatus
Terenotriccus erythrurus
Myiobius sulphureipygius
Myiobius atricaudus
Piprites griseiceps
Platyrinchus cancrominus
Platyrinchus mystaceus
Platyrinchus coronatus
Mionectes olivaceus
Mionectes oleagineus
Leptopogon amaurocephalus
Leptopogon superciliaris
Phylloscartes superciliaris
Myiornis atricapillus
Lophotriccus pileatus
Oncostoma cinereigulare
Poecilotriccus sylvia
Todirostrum cinereum
Todirostrum nigriceps
Rhynchocyclus brevirostris
Tolmomyias sulphurescens
Tolmomyias assimilis
Ornithion semiflavum
Ornithion brunneicapillus
Camptostoma imberbe
Camptostoma obsoletum
Nesotriccus ridgwayi
Nesotriccus murinus
Capsiempis flaveola
Tyrannulus elatus
Myiopagis viridicata
Elaenia flavogaster
Elaenia chiriquensis
Elaenia frantzii
Serpophaga cinerea
Phyllomyias burmeisteri
Zimmerius parvus
Attila spadiceus
Rhytipterna holerythra
Myiarchus tuberculifer
Myiarchus panamensis
Myiarchus cinerascens
Myiarchus nuttingi
Myiarchus crinitus
Myiarchus tyrannulus
Pitangus sulphuratus
Megarynchus pitangua
Myiozetetes cayanensis
Myiozetetes similis
Myiozetetes granadensis
Conopias albovittatus
Myiodynastes hemichrysus
Myiodynastes maculatus
Myiodynastes luteiventris
Legatus leucophaius
Tyrannus melancholicus
Tyrannus verticalis
Tyrannus tyrannus
Tyrannus dominicensis
Tyrannus forficatus
Tyrannus savana
Myiophobus fasciatus
Aphanotriccus capitalis
Mitrephanes phaeocercus
Contopus cooperi
Contopus lugubris
Contopus ochraceus
Contopus sordidulus
Contopus virens
Contopus cinereus
Empidonax flaviventris
Empidonax virescens
Empidonax alnorum
Empidonax traillii
Empidonax albigularis
Empidonax minimus
Empidonax flavescens
Empidonax atriceps
Sayornis nigricans
Sayornis phoebe
Pyrocephalus rubinus
Sublegatus arenarum
Colonia colonus
Zimmerius vilissimus
Myiodynastes chrysocephalus 
Tyrannus couchii 
Cyclarhis gujanensis
Hylophilus flavipes
Vireolanius pulchellus
Tunchiornis ochraceiceps
Pachysylvia decurtatus
Vireo griseus
Vireo pallens
Vireo flavifrons
Vireo carmioli
Vireo solitarius
Vireo philadelphicus
Vireo gilvus
Vireo leucophrys
Vireo olivaceus
Vireo flavoviridis
Vireo altiloquus
Cyanolyca argentigula
Cyanolyca cucullata
Calocitta formosa
Psilorhinus morio
Cyanocorax affinis
Riparia riparia
Tachycineta bicolor
Tachycineta thalassina
Tachycineta albilinea
Pygochelidon cyanoleuca
Stelgidopteryx serripennis
Stelgidopteryx ruficollis
Progne tapera
Progne subis
Progne chalybea
Hirundo rustica
Petrochelidon pyrrhonota
Petrochelidon fulva
Salpinctes obsoletus
Microcerculus philomela
Microcerculus marginatus
Troglodytes aedon
Troglodytes ochraceus
Thryorchilus browni
Cistothorus platensis
Campylorhynchus zonatus
Campylorhynchus rufinucha
Pheugopedius atrogularis
Pheugopedius rutilus
Pheugopedius maculipectus
Pheugopedius fasciatoventris
Thryophilus rufalbus
Thryophilus pleurostictus
Cantorchilus thoracicus
Cantorchilus modestus
Cantorchilus zeledoni
Cantorchilus elutus 
Cantorchilus nigricapillus
Cantorchilus semibadius
Henicorhina leucosticta
Henicorhina leucophrys
Cyphorhinus phaeocephalus
Microbates cinereiventris
Ramphocaenus melanurus
Polioptila albiloris
Polioptila plumbea
Cinclus mexicanus
Myadestes melanops
Catharus gracilirostris
Catharus aurantiirostris
Catharus fuscater
Catharus frantzii
Catharus mexicanus
Catharus fuscescens
Catharus minimus
Catharus ustulatus
Hylocichla mustelina
Turdus nigrescens
Turdus plebejus
Turdus obsoletus
Turdus grayi
Turdus assimilis
Dumetella carolinensis
Mimus gilvus
Bombycilla cedrorum
Phainoptila melanoxantha
Ptiliogonys caudatus
Lonchura malacca
Passer domesticus
Anthus rubescens
Chlorophonia callophrys
Euphonia affinis
Euphonia luteicapilla
Euphonia laniirostris
Euphonia hirundinacea
Euphonia elegantissima
Euphonia imitans
Euphonia gouldi
Euphonia minuta
Euphonia anneae
Spinus xanthogastrus
Spinus psaltria
Rhodinocichla rosea
Chlorospingus canigularis
Chlorospingus pileatus
Chlorospingus flavopectus
Peucaea ruficauda
Peucaea botterii
Ammodramus savannarum
Arremonops rufivirgatus
Arremonops conirostris
Chondestes grammacus
Spizella  passerina
Spizella pallida
Arremon costaricensis
Arremon aurantiirostris
Arremon brunneinucha
Arremon crassirostris
Junco vulcani
Zonotrichia capensis
Zonotrichia leucophrys
Passerculus sandwichensis
Melospiza lincolnii
Pezopetes capitalis
Melozone leucotis
Melozone cabanisi
Aimophila rufescens
Atlapetes albinucha
Atlapetes tibialis
Zeledonia coronata
Icteria virens
Xanthocephalus xanthocephalus
Dolichonyx oryzivorus
Sturnella magna
Leistes militaris
Amblycercus holosericeus
Psarocolius decumanus
Psarocolius wagleri
Psarocolius montezuma
Cacicus uropygialis
Icterus prosthemelas
Icterus spurius
Icterus chrysater
Icterus mesomelas
Icterus pustulatus
Icterus bullockii
Icterus pectoralis
Icterus galbula
Agelaius phoeniceus
Molothrus bonariensis
Molothrus aeneus
Molothrus oryzivorus
Dives dives
Quiscalus mexicanus
Quiscalus nicaraguensis
Seiurus aurocapilla
Helmitheros vermivorum
Parkesia motacilla
Parkesia noveboracensis
Vermivora chrysoptera
Vermivora cyanoptera
Mniotilta varia
Protonotaria citrea
Oreothlypis gutturalis
Leiothlypis peregrina
Leiothlypis celata
Leiothlypis ruficapilla
Oporornis agilis
Geothlypis poliocephala
Geothlypis tolmiei
Geothlypis philadelphia
Geothlypis formosa
Geothlypis semiflava
Geothlypis trichas
Setophaga citrina
Setophaga ruticilla
Setophaga tigrina
Setophaga cerulea
Setophaga americana
Setophaga pitiayumi
Setophaga magnolia 
Setophaga castanea
Setophaga fusca
Setophaga petechia
Setophaga pensylvanica
Setophaga striata
Setophaga caerulescens
Setophaga palmarum
Setophaga pinus
Setophaga coronata
Setophaga dominica
Setophaga discolor
Setophaga townsendi
Setophaga occidentalis
Setophaga chrysoparia 
Setophaga virens
Myiothlypis fulvicauda
Basileuterus rufifrons
Basileuterus melanogenys
Basileuterus culicivorus
Basileuterus melanotis
Cardellina canadensis
Cardellina pusilla
Myioborus miniatus
Myioborus torquatus
Mitrospingus cassinii
Piranga flava
Piranga rubra
Piranga olivacea
Piranga ludoviciana
Piranga bidentata
Piranga leucoptera
Habia rubica
Habia fuscicauda
Habia atrimaxillaris
Chlorothraupis carmioli
Caryothraustes poliogaster
Pheucticus tibialis
Pheucticus ludovicianus
Pheucticus melanocephalus
Amaurospiza concolor
Cyanoloxia cyanoides
Passerina caerulea
Passerina cyanea
Passerina ciris
Spiza americana
Bangsia arcaei
Ixothraupis guttata
Thraupis episcopus
Thraupis abbas
Thraupis palmarum
Stilpnia larvata
Tangara dowii
Tangara inornata
Tangara lavinia
Tangara gyrola
Tangara florida
Tangara icterocephala
Sicalis luteola
Haplospiza rustica
Acanthidops bairdi
Diglossa plumbea
Chlorophanes spiza
Chrysothlypis chrysomelas
Heterospingus rubrifrons
Volatinia jacarina
Eucometis  penicillata
Loriotus luctuosus
Tachyphonus delatrii
Tachyphonus rufus
Lanio leucothorax
Ramphocelus sanguinolentus
Ramphocelus flammigerus
Ramphocelus passerinii
Ramphocelus dimidiatus
Cyanerpes lucidus
Cyanerpes cyaneus
Dacnis venusta
Dacnis cayana
Coereba flaveola
Tiaris olivaceus
Pinaroloxias inornata
Sporophila lineola
Sporophila funerea
Sporophila nuttingi
Sporophila corvina
Sporophila schistacea
Sporophila morelleti
Sporophila nigricollis
Sporophila minuta
Emberizoides herbicola
Saltator atriceps
Saltator maximus
Saltator grossus
Saltator coerulescens
Saltator grandis
Saltator striatipectus
