usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
6093862,"Parkesia motacilla (Vieillot, 1809)",Parkesia motacilla,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Parkesia,Parkesia motacilla,1,44,212,729,5263,6093857,6093862,FALSE,Aves,NA,Parkesia motacilla,816
6093856,"Parkesia noveboracensis (J.F.Gmelin, 1789)",Parkesia noveboracensis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Parkesia,Parkesia noveboracensis,1,44,212,729,5263,6093857,6093856,FALSE,Aves,NA,Parkesia noveboracensis,817
5230811,"Vermivora chrysoptera (Linnaeus, 1766)",Vermivora chrysoptera,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Vermivora,Vermivora chrysoptera,1,44,212,729,5263,5230809,5230811,FALSE,Aves,NA,Vermivora chrysoptera,818
6093846,"Vermivora cyanoptera Olson & Reveal, 2009",Vermivora cyanoptera,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Vermivora,Vermivora cyanoptera,1,44,212,729,5263,5230809,6093846,FALSE,Aves,NA,Vermivora cyanoptera,819
2489613,"Mniotilta varia (Linnaeus, 1766)",Mniotilta varia,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Mniotilta,Mniotilta varia,1,44,212,729,5263,2489612,2489613,FALSE,Aves,NA,Mniotilta varia,820
2489871,"Protonotaria citrea (Boddaert, 1783)",Protonotaria citrea,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Protonotaria,Protonotaria citrea,1,44,212,729,5263,2489870,2489871,FALSE,Aves,NA,Protonotaria citrea,821
6093769,"Oreothlypis gutturalis (Cabanis, 1861)",Oreothlypis gutturalis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Oreothlypis,Oreothlypis gutturalis,1,44,212,729,5263,7237115,6093769,FALSE,Aves,NA,Oreothlypis gutturalis,822
7415507,"Leiothlypis peregrina (A.Wilson, 1811)",Leiothlypis peregrina,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Leiothlypis,Leiothlypis peregrina,1,44,212,729,5263,7467942,7415507,FALSE,Aves,NA,Leiothlypis peregrina,823
8169649,"Leiothlypis celata (Say, 1822)",Leiothlypis celata,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Leiothlypis,Leiothlypis celata,1,44,212,729,5263,7467942,8169649,FALSE,Aves,NA,Leiothlypis celata,824
7531611,"Leiothlypis ruficapilla (A.Wilson, 1811)",Leiothlypis ruficapilla,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Leiothlypis,Leiothlypis ruficapilla,1,44,212,729,5263,7467942,7531611,FALSE,Aves,NA,Leiothlypis ruficapilla,825
2489611,"Oporornis agilis (A.Wilson, 1812)",Oporornis agilis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Oporornis,Oporornis agilis,1,44,212,729,5263,2489605,2489611,FALSE,Aves,NA,Oporornis agilis,826
2489655,"Geothlypis poliocephala S.F.Baird, 1865",Geothlypis poliocephala,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Geothlypis,Geothlypis poliocephala,1,44,212,729,5263,2489637,2489655,FALSE,Aves,NA,Geothlypis poliocephala,827
5789146,"Geothlypis tolmiei (J.K.Townsend, 1839)",Geothlypis tolmiei,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Geothlypis,Geothlypis tolmiei,1,44,212,729,5263,2489637,5789146,FALSE,Aves,NA,Geothlypis tolmiei,828
5789148,"Geothlypis philadelphia (A.Wilson, 1810)",Geothlypis philadelphia,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Geothlypis,Geothlypis philadelphia,1,44,212,729,5263,2489637,5789148,FALSE,Aves,NA,Geothlypis philadelphia,829
6093586,"Geothlypis formosa (A.Wilson, 1811)",Geothlypis formosa,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Geothlypis,Geothlypis formosa,1,44,212,729,5263,2489637,6093586,FALSE,Aves,NA,Geothlypis formosa,830
2489641,"Geothlypis semiflava P.L.Sclater, 1860",Geothlypis semiflava,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Geothlypis,Geothlypis semiflava,1,44,212,729,5263,2489637,2489641,FALSE,Aves,NA,Geothlypis semiflava,831
2489670,"Geothlypis trichas (Linnaeus, 1766)",Geothlypis trichas,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Geothlypis,Geothlypis trichas,1,44,212,729,5263,2489637,2489670,FALSE,Aves,NA,Geothlypis trichas,832
6093374,"Setophaga citrina (Boddaert, 1783)",Setophaga citrina,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga citrina,1,44,212,729,5263,2489984,6093374,FALSE,Aves,NA,Setophaga citrina,833
2489985,"Setophaga ruticilla (Linnaeus, 1758)",Setophaga ruticilla,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga ruticilla,1,44,212,729,5263,2489984,2489985,FALSE,Aves,NA,Setophaga ruticilla,834
6093357,"Setophaga tigrina (J.F.Gmelin, 1789)",Setophaga tigrina,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga tigrina,1,44,212,729,5263,2489984,6093357,FALSE,Aves,NA,Setophaga tigrina,835
6093350,"Setophaga cerulea (A.Wilson, 1810)",Setophaga cerulea,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga cerulea,1,44,212,729,5263,2489984,6093350,FALSE,Aves,NA,Setophaga cerulea,836
6093345,"Setophaga americana (Linnaeus, 1758)",Setophaga americana,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga americana,1,44,212,729,5263,2489984,6093345,FALSE,Aves,NA,Setophaga americana,837
7341895,"Setophaga pitiayumi (Vieillot, 1817)",Setophaga pitiayumi,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga pitiayumi,1,44,212,729,5263,2489984,7341895,FALSE,Aves,NA,Setophaga pitiayumi,838
6093209,"Setophaga magnolia (A.Wilson, 1811)",Setophaga magnolia,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga magnolia,1,44,212,729,5263,2489984,6093209,FALSE,Aves,NA,Setophaga magnolia,839
6093202,"Setophaga castanea (A.Wilson, 1810)",Setophaga castanea,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga castanea,1,44,212,729,5263,2489984,6093202,FALSE,Aves,NA,Setophaga castanea,840
6093199,"Setophaga fusca (Statius Müller, 1776)",Setophaga fusca,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga fusca,1,44,212,729,5263,2489984,6093199,FALSE,Aves,NA,Setophaga fusca,841
7341834,"Setophaga petechia (Linnaeus, 1766)",Setophaga petechia,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga petechia,1,44,212,729,5263,2489984,7341834,FALSE,Aves,NA,Setophaga petechia,842
6092942,"Setophaga pensylvanica (Linnaeus, 1766)",Setophaga pensylvanica,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga pensylvanica,1,44,212,729,5263,2489984,6092942,FALSE,Aves,NA,Setophaga pensylvanica,843
6092935,"Setophaga striata (J.R.Forster, 1772)",Setophaga striata,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga striata,1,44,212,729,5263,2489984,6092935,FALSE,Aves,NA,Setophaga striata,844
7341828,"Setophaga caerulescens (J.F.Gmelin, 1789)",Setophaga caerulescens,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga caerulescens,1,44,212,729,5263,2489984,7341828,FALSE,Aves,NA,Setophaga caerulescens,845
7341822,"Setophaga palmarum (J.F.Gmelin, 1789)",Setophaga palmarum,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga palmarum,1,44,212,729,5263,2489984,7341822,FALSE,Aves,NA,Setophaga palmarum,846
7341816,"Setophaga pinus (Linnaeus, 1766)",Setophaga pinus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga pinus,1,44,212,729,5263,2489984,7341816,FALSE,Aves,NA,Setophaga pinus,847
7341805,"Setophaga coronata (Linnaeus, 1766)",Setophaga coronata,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga coronata,1,44,212,729,5263,2489984,7341805,FALSE,Aves,NA,Setophaga coronata,848
7341800,"Setophaga dominica (Linnaeus, 1766)",Setophaga dominica,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga dominica,1,44,212,729,5263,2489984,7341800,FALSE,Aves,NA,Setophaga dominica,849
7341789,"Setophaga discolor (Vieillot, 1809)",Setophaga discolor,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga discolor,1,44,212,729,5263,2489984,7341789,FALSE,Aves,NA,Setophaga discolor,850
6092651,"Setophaga townsendi (J.K.Townsend, 1837)",Setophaga townsendi,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga townsendi,1,44,212,729,5263,2489984,6092651,FALSE,Aves,NA,Setophaga townsendi,851
6092644,"Setophaga occidentalis (J.K.Townsend, 1837)",Setophaga occidentalis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga occidentalis,1,44,212,729,5263,2489984,6092644,FALSE,Aves,NA,Setophaga occidentalis,852
6092637,"Setophaga chrysoparia (P.L.Sclater & Salvin, 1860)",Setophaga chrysoparia,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga chrysoparia,1,44,212,729,5263,2489984,6092637,FALSE,Aves,NA,Setophaga chrysoparia,853
6092631,"Setophaga virens (J.F.Gmelin, 1789)",Setophaga virens,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga virens,1,44,212,729,5263,2489984,6092631,FALSE,Aves,NA,Setophaga virens,854
7341658,"Myiothlypis fulvicauda (von Spix, 1825)",Myiothlypis fulvicauda,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Myiothlypis,Myiothlypis fulvicauda,1,44,212,729,5263,7341612,7341658,FALSE,Aves,NA,Myiothlypis fulvicauda,855
2489785,"Basileuterus rufifrons (Swainson, 1838)",Basileuterus rufifrons,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Basileuterus,Basileuterus rufifrons,1,44,212,729,5263,2489731,2489785,FALSE,Aves,NA,Basileuterus rufifrons,856
2489744,"Basileuterus melanogenys S.F.Baird, 1865",Basileuterus melanogenys,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Basileuterus,Basileuterus melanogenys,1,44,212,729,5263,2489731,2489744,FALSE,Aves,NA,Basileuterus melanogenys,857
2489770,"Basileuterus culicivorus (Deppe, 1830)",Basileuterus culicivorus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Basileuterus,Basileuterus culicivorus,1,44,212,729,5263,2489731,2489770,FALSE,Aves,NA,Basileuterus culicivorus,858
8941046,"Basileuterus melanotis Lawrence, 1868",Basileuterus melanotis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Basileuterus,Basileuterus melanotis,1,44,212,729,5263,2489731,8941046,FALSE,Aves,NA,Basileuterus melanotis,859
6091946,"Cardellina canadensis (Linnaeus, 1766)",Cardellina canadensis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Cardellina,Cardellina canadensis,1,44,212,729,5263,2489633,6091946,FALSE,Aves,NA,Cardellina canadensis,860
7341606,"Cardellina pusilla (A.Wilson, 1811)",Cardellina pusilla,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Cardellina,Cardellina pusilla,1,44,212,729,5263,2489633,7341606,FALSE,Aves,NA,Cardellina pusilla,861
2489837,"Myioborus miniatus (Swainson, 1827)",Myioborus miniatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Myioborus,Myioborus miniatus,1,44,212,729,5263,2489828,2489837,FALSE,Aves,NA,Myioborus miniatus,862
2489829,"Myioborus torquatus (S.F.Baird, 1865)",Myioborus torquatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Myioborus,Myioborus torquatus,1,44,212,729,5263,2489828,2489829,FALSE,Aves,NA,Myioborus torquatus,863
2488752,"Mitrospingus cassinii (Lawrence, 1861)",Mitrospingus cassinii,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Thraupidae,Mitrospingus,Mitrospingus cassinii,1,44,212,729,9352,2488751,2488752,FALSE,Aves,NA,Mitrospingus cassinii,864
2488498,"Piranga flava (Vieillot, 1822)",Piranga flava,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Cardinalidae,Piranga,Piranga flava,1,44,212,729,9285,2488483,2488498,FALSE,Aves,NA,Piranga flava,865
2488485,"Piranga rubra (Linnaeus, 1758)",Piranga rubra,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Cardinalidae,Piranga,Piranga rubra,1,44,212,729,9285,2488483,2488485,FALSE,Aves,NA,Piranga rubra,866
2488517,"Piranga olivacea (J.F.Gmelin, 1789)",Piranga olivacea,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Cardinalidae,Piranga,Piranga olivacea,1,44,212,729,9285,2488483,2488517,FALSE,Aves,NA,Piranga olivacea,867
